"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"2","C3","1","100uF","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm",""
"3","C4, C6","2","0.1uF","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm",""
"4","C5","1",".001uF","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm",""
"5","D1, D2","2","1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"6","J1","1","Signal In (10mV)","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",""
"7","J2","1","Amplified Output","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",""
"8","J3","1","-9V GND +9V","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal",""
"9","Q1, Q2","2","2N3904","Package_TO_SOT_THT:TO-92_Inline",""
"10","Q3","1","2N3906","Package_TO_SOT_THT:TO-92_Inline",""
"11","R1","1","27k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"12","R2","1","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"13","R3, R4","2","20k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"14","R5, R6","2","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"15","Rc1","1","1.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","Re1","1","55","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"17","RLoad1","1","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
